대사 고유 번호	할당 캐릭터	등장 호감도	등장 일러스트 파일 명	대사 내용	연결 씬 이미지	기획자 확인란	발생 시점	장착 코스튬
DialgueID	CharacterID	ChkLike	ChrIllust	DialougeKR	LinkScene		WhenID	NowClothes
Int	Int	Int	String	String	String		int	string
100001	2	1	Images/standingCG/ShopNPC1_Kidnapped	꺄…악!		첫 번째 웨이브 보스 처치 시 발생하는 스크립트(스테이지 끝나고)	4	기본
100002	1	1	Images/standingCG/Hero1_Surprised	어엇?? 사람?		첫 번째 웨이브 보스 처치 시 발생하는 스크립트(스테이지 끝나고)	4	기본
100003	1	1	Images/standingCG/Hero1_Surprised	잠, 잠시만요??!		첫 번째 웨이브 보스 처치 시 발생하는 스크립트(스테이지 끝나고)	4	기본
100004	2	1	Images/standingCG/ShopNPC1_Surprised	뭐야, 사람이 왜 여기에??		첫 번째 웨이브 보스 처치 시 발생하는 스크립트(스테이지 끝나고)	4	기본
100005	1	1	Images/standingCG/Hero1_Worried	괜찮으세요?		첫 번째 웨이브 보스 처치 시 발생하는 스크립트(스테이지 끝나고)	4	기본
100006	2	1	Images/standingCG/ShopNPC1_Mad	무슨 정신으로 여길 온거야? 여기 위험한 몰라?		첫 번째 웨이브 보스 처치 시 발생하는 스크립트(스테이지 끝나고)	4	기본
100007	1	1	Images/standingCG/Hero1_AwkwardSmile	(까..까칠해) 		첫 번째 웨이브 보스 처치 시 발생하는 스크립트(스테이지 끝나고)	4	기본
100008	1	1	Images/standingCG/Hero1_BigSmile	이래뵈도 용사거든요!		첫 번째 웨이브 보스 처치 시 발생하는 스크립트(스테이지 끝나고)	4	기본
100009	2	1	Images/standingCG/ShopNPC1_Mad	용사? 흥, 지나가는 개가 웃겠다.		첫 번째 웨이브 보스 처치 시 발생하는 스크립트(스테이지 끝나고)	4	기본
100010	1	1	Images/standingCG/Hero1_AwkwardSmile	진, 진짜인데…어? 상처가…		첫 번째 웨이브 보스 처치 시 발생하는 스크립트(스테이지 끝나고)	4	기본
100011	2	1	Images/standingCG/ShopNPC1_Normal	아. 괜찮아. 신경쓰지 마.		첫 번째 웨이브 보스 처치 시 발생하는 스크립트(스테이지 끝나고)	4	기본
100012	2	1	Images/standingCG/ShopNPC1_Mad	왜 따라오는거야!!?		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100013	1	1	Images/standingCG/Hero1_BigSmile	용사로서 상처입은 사람을 무시할 순 없죠!		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100014	2	1	Images/standingCG/ShopNPC1_Tsundere	…이정도 상처는 나혼자서도 치료할 수 있어.		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100015	1	1	Images/standingCG/Hero1_Curious	그리고 보니…여긴		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100016	2	1	Images/standingCG/ShopNPC1_Mad	눈치 한 번 더럽게 느리네! 이제서야 안 거야?		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100017	1	1	Images/standingCG/Hero1_Surprised	상점 주인이셨군요?		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100018	2	1	Images/standingCG/ShopNPC1_Tsundere	흥! / 뭐, 온김에 뭐라도 사던지…		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100019	1	1	Images/standingCG/Hero1_AwkwardSmile	사..사는 거군요.		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100020	2	1	Images/standingCG/ShopNPC1_Mad	그럼 뭐? 구해줬으니 공짜로 달라고?		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100021	1	1	Images/standingCG/Hero1_AwkwardSmile	그, 그건 아닌데…하하		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100022	2	1	Images/standingCG/ShopNPC1_Tsundere	……………		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100023	2	1	Images/standingCG/ShopNPC1_Tsundere	…야		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100024	1	1	Images/standingCG/Hero1_Surprised	어…진짜 주시는 거예요?		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100025	2	1	Images/standingCG/ShopNPC1_Tsundere	사람을 오랜만에 봤다느니…사실은 고마웠다느니 그런 건 아니니까!! 오해하지 마!		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100026	2	1	Images/standingCG/ShopNPC1_Tsundere	그, 그냥 물건이 남아도니까 주는거야!		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100027	2	1	Images/standingCG/ShopNPC1_Tsundere	어차피 못 팔면 버리려고 했어!		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100028	1	1	Images/standingCG/Hero1_BigSmile	아하하…감사해요.		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100029	1	1	Images/standingCG/Hero1_BigSmile	(사람을 오랜만에 만나고 사실은 구해줘서 고마웠구나.)		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100030	1	1	Images/standingCG/Hero1_BigSmile	위치도 알았고 가끔 찾아 올께요.		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100031	2	1	Images/standingCG/ShopNPC1_Mad	찾아오지마!		위의 스크립트 종료 후 상점으로 강제 이동 발생하는 스크립트(강제)	1	기본
100032	1	1	Images/standingCG/Hero1_Curious	저기 어쩌다 괴물에게 붙잡힌거죠?		호감도 레벨 1 이상일 경우 대화 이벤트 실행시 발생하는 스크립트 챕터 1(대화)	2	기본
100033	2	1	Images/standingCG/ShopNPC1_Tsundere	그, 그냥! 우연히 숲을 지나가다…		호감도 레벨 1 이상일 경우 대화 이벤트 실행시 발생하는 스크립트 챕터 1(대화)	2	기본
