																	
	아이템 고유 번호	아이템 등급	아이템 이름	아이템 타입	아이템 기본 공격 속도	아이템 효과	아이템 효과 수치	조합 아이템 1	조합 아이템 2	아이템 세트 효과	세트 발동 장비 수	아이템 최대 레벨	아이템 가격	아이템 범위	아이템 크기	아이템 아이콘	기획자 확인란
	itemID	ItemRank	ItemName	ItemType	ItemAtkSpeed	ItemEffect	ItemEffectValue	ItemAddNum	ItemAddNum2	ItemSetEffect	ItemSetNum	ItemMaxLevel	ItemValue	ItemRange	ItemSize	ItemIcon	
	Int	Enum<int>	String	Enum<Int>	Float	Enum<Int>	int	int	Int	int	Int	int	int	int	float	string	
	1000	0	골드	0	-	0	-	-	-	-	-	-	-	-	-	Images/Sprite/Item/money_gold	휘발성 재화 '골드'
	1001	0	다이아	0	-	0	-	-	-	-	-	-	-	-	-	Images/Sprite/Item/money_diamond	보존성 재화 '다이아'
	1002	1	모루	1	-	0	-	-	-	-	-	-	-	-	-	Images/Sprite/Item/anvil	아이템 선택 강화 '모루'
	10000	0	포션	2	-	1	20	-	-	-	-	-	15	-	-	Images/Sprite/Item/potion	회복 아이템 '포션'
	10001	2	검	3	1.5	2	8	-	-	-	-	5	-	10	1	Images/Sprite/Item/Sword	고유 아이템 '검'
	10002	2	도끼	3	0.8	2	15	-	-	-	-	5	-	15	1.2	Images/Sprite/Item/Axe	고유 아이템 '도끼'
	10003	2	지팡이	3	1	3	10	-	-	-	-	5	-	30	1	Images/Sprite/Item/Staff	고유 아이템 '지팡이'
	10100	0	쿠나이	3	1	15	10	-	-	-	-	5	30	30	1	Images/Sprite/Item/Kunai	일반 아이템 '쿠나이'
	10101	0	활	3	1	4	10	-	-	-	-	5	30	30	1	Images/Sprite/Item/Bow	일반 아이템 '활'
	10102	0	레이저	3	1	4	10	-	-	-	-	5	30	30	1	Images/Sprite/Item/Lazor	일반 아이템 '레이저'
	10103	0	단검	3	0.8	5	8	-	-	0	4	5	30	10	1	Images/Sprite/Item/Dagger	일반 아이템 '단검'
	10104	0	수리검	3	0.8	5	8	-	-	-	-	5	30	10	1	Images/Sprite/Item/Syuriken	일반 아이템 '수리검'
	10105	0	화염구	3	0.8	5	8	-	-	1	4	5	30	10	1	Images/Sprite/Item/Fireball	일반 아이템 '화염구'
	10200	0	투구	4	-	6	3	-	-	-	-	5	30	-	-	Images/Sprite/Item/Helmet	패시브 아이템 '투구'
	10201	0	후드	4	-	6	2	-	-	-	-	5	30	-	-	Images/Sprite/Item/Hood	패시브 아이템 '후드'
	10202	0	머리띠	4	-	6	1	-	-	0	4	5	30	-	-	Images/Sprite/Item/Headband	패시브 아이템 '머리띠'
