																						
	몬스터 고유 번호	몬스터 이름	몬스터 상태	몬스터 크기	몬스터 크기 값	몬스터 등급	몬스터 공격 방식	몬스터 행동 패턴	몬스터 HP	몬스터 공격력	몬스터 공격 속도	몬스터 공격 사거리	몬스터 드랍 아이템	이동 속도	방어력	몬스터 스프라이트	몬스터 등장 브금	몬스터 처치 경험치	드랍 골드	골드 드랍 확률	드랍 다이아	다이아 드랍 확률
	MonID	MonName	MonType	MonSize	MonSizeValue	MonClass	MonManner	MonPattern	MonHP	MonPower	MonSpeed	Monintersection	MonItem	MonsterSpeed	MonsterDefense	MonSprite	MonBGM	MonEXP	DropGold	DropGoldPer	DropDiamond	DropDiamondPer
	int	string	enum<int>	enum<int>	float	enum<int>	enum<int>	string	int	int	float	float	string	float	int	string	string	int	int	int	int	int
	10010	스켈레톤	cute	Small	5	Normal	-	CloseCombat	100	0	0	0	Gold	250	0		-	1	5	20	-	-
	10011	스켈레톤	real	Small	2.5	Normal	-	CloseCombat	100	0	0	0	Gold	250	0		-	1	5	20	-	-
	10020	좀비	cute	Small	4	Normal	-	CloseCombat	100	0	0	0	Gold	250	0		-	1	5	20	-	-
	10021	좀비	real	Small	2	Normal	-	CloseCombat	100	0	0	0	Gold	250	0		-	1	5	20	-	-
	10030	슬라임	cute	Small	4	Normal	-	CloseCombat	150	0	0	0	Gold	250	0	Slime_Cute_Sprite.png	-	1	5	20	-	-
	10031	슬라임	real	Small	3	Normal	-	CloseCombat	150	0	0	0	Gold	250	0		-	1	5	20	-	-
	10040	버섯	cute	Small	4	Normal	-	CloseCombat	150	0	0	0	Gold	250	0		-	1	5	20	-	
	10041	버섯	real	Small	2	Normal	-	CloseCombat	150	0	0	0	Gold	250	0		-	1	5	20	-	-
	10050	그림자 사수	cute	Small	3	Normal	LongDistance	RangeCombat	50	50	0.5	10	Gold, Diamond	200	0		-	2	10	20	5	5
	10051	그림자 사수	real	Small	3	Normal	LongDistance	RangeCombat	50	50	0.5	10	Gold, Diamond	200	0		-	2	10	20	5	5
	10060	저주의 촉수구	cute	Small	3	Normal	LongDistance	RangeCombat	50	50	0.5	10	Gold, Diamond	200	0		-	2	10	20	5	5
	10061	저주의 촉수구	real	Small	2	Normal	LongDistance	RangeCombat	50	50	0.5	10	Gold, Diamond	200	0		-	2	10	20	5	5
	20010	골렘	cute	Middle	1	Special	-	CloseCombat	1000	0	0	0	Gold, Diamond	300	0	Golem_Cute_Sprite.png	-	100	100	20	10	10
	20011	골렘	real	Middle	1	Special	-	CloseCombat	1000	0	0	0	Gold, Diamond	300	0		-	100	100	20	10	10
	20020	데스나이트	cute	Middle	7	Special	-	CloseCombat	1000	0	0	0	Gold, Diamond	300	0	Death_Knight_Sheet.png	-	100	100	20	10	10
	20021	데스나이트	real	Middle	4	Special	-	CloseCombat	1000	0	0	0	Gold, Diamond	300	0		-	100	100	20	10	10
	30020	말탄 듀라한	real	Large	10	Boss	CloseRange	RideDullahanPattern	30000	2000	1	5	Gold, Diamond	400	100	Dullahan_horse_Run.png	-	300	300	20	30	100
	30021	말 내린 듀라한	real	Large	10	Boss	CloseRange	StandDullahanPattern	10000	200	1	5	Gold, Diamond	400	100		-	300	300	20	30	100
	30030	벤시	real	Large	13	Boss	LongDistance	BansheePattern	20000	3000	1	15	Gold, Diamond	400	100		-	300	300	20	30	100
	40010	아칸	real	Large	5	LastBoss	LongDistance	ArchonPattern	300000	30000	1	20	Gold, Diamond	450	500		-	1000	1000	20	100	100
